NO_OF_FRAMES	720
NO_OF_CAMERAS	7
NO_OF_MARKERS	2
FREQUENCY	120
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2014-06-17, 08:53:44	912.56663253
DATA_INCLUDED	3D
MARKER_NAMES	right_knee	right_ankle
Frame	Time	right_knee X	right_knee Y	right_knee Z	right_ankle X	right_ankle Y	right_ankle Z	
86	0.71667	1439.657	2006.304	478.589	1499.645	2067.884	108.934
87	0.72500	1437.705	2003.421	479.569	1499.743	2068.166	110.033
88	0.73333	1435.600	2000.003	479.995	1499.298	2066.762	110.796
89	0.74167	1433.229	1996.220	480.337	1499.067	2065.495	111.919
90	0.75000	1430.083	1992.499	481.265	1498.749	2064.039	112.948
91	0.75833	1427.298	1987.693	481.146	1498.209	2061.893	114.007
92	0.76667	1424.092	1982.698	481.561	1499.677	2062.194	117.820
93	0.77500	1420.718	1977.859	481.955	1499.793	2060.435	120.026
94	0.78333	1417.375	1972.874	482.121	1499.157	2057.386	121.566
95	0.79167	1413.215	1968.146	482.621	1498.544	2054.654	123.205
96	0.80000	1409.939	1962.730	483.519	1497.985	2052.716	125.680
97	0.80833	1406.388	1957.876	484.172	1497.534	2049.203	127.998
98	0.81667	1403.775	1953.222	484.900	1495.575	2045.205	129.363
99	0.82500	1400.583	1948.818	486.010	1493.403	2041.002	130.580
100	0.83333	1397.514	1944.701	486.516	1490.544	2036.019	131.032
101	0.84167	1394.925	1940.700	487.007	1486.672	2030.205	130.708
102	0.85000	1392.792	1936.732	487.991	1482.727	2024.551	130.407
103	0.85833	1390.331	1933.100	488.825	1478.353	2018.773	130.314
104	0.86667	1388.207	1929.670	489.136	1483.043	2023.362	121.247
105	0.87500	1386.335	1926.635	489.681	1476.021	2015.995	120.513
106	0.88333	1384.455	1923.457	490.117	1469.561	2007.638	118.125
107	0.89167	1382.312	1920.475	491.181	1461.585	1999.787	116.254
108	0.90000	1380.092	1917.370	491.446	1454.102	1990.988	115.123
109	0.90833	1378.162	1914.188	491.747	1446.682	1981.497	112.949
110	0.91667	1376.096	1911.157	492.018	1438.145	1972.185	110.618
111	0.92500	1373.255	1907.926	492.288	1430.101	1962.821	110.023
112	0.93333	1370.462	1904.583	492.598	1421.594	1953.013	109.257
113	0.94167	1368.235	1900.871	492.961	1412.819	1943.264	107.675
114	0.95000	1364.982	1897.511	493.516	1404.563	1933.682	106.869
115	0.95833	1361.850	1894.238	493.422	1396.296	1924.041	106.243
116	0.96667	1359.300	1890.705	493.960	1387.479	1914.546	105.478
117	0.97500	1355.808	1887.090	493.873	1379.031	1904.608	105.486
118	0.98333	1352.750	1883.056	494.270	1370.089	1894.357	105.218
119	0.99167	1349.546	1879.302	494.944	1361.538	1884.758	105.093
120	1.00000	1345.621	1875.266	495.242	1352.959	1874.881	105.192
121	1.00833	1340.509	1870.580	497.242	1344.294	1865.355	106.159
122	1.01667	1336.731	1866.840	497.529	1335.926	1856.097	106.328
123	1.02500	1335.331	1863.547	496.292	1327.382	1846.818	107.379
124	1.03333	1329.518	1859.131	498.381	1318.911	1837.542	108.120
125	1.04167	1325.970	1854.976	499.133	1310.839	1828.724	109.166
126	1.05000	1321.794	1851.018	499.469	1303.045	1819.896	110.068
127	1.05833	1318.189	1846.996	499.611	1293.186	1810.022	114.122
128	1.06667	1314.127	1842.812	500.172	1285.893	1801.812	115.310
129	1.07500	1310.284	1838.703	500.463	1278.659	1793.506	115.862
130	1.08333	1306.324	1834.986	501.119	1271.963	1785.881	117.412
131	1.09167	1302.562	1830.796	501.600	1265.112	1778.328	118.237
132	1.10000	1298.249	1826.669	501.900	1258.425	1770.754	119.407
133	1.10833	1294.454	1822.396	501.949	1252.281	1763.741	120.827
134	1.11667	1290.609	1818.369	502.174	1245.943	1756.976	121.825
135	1.12500	1286.654	1813.978	502.550	1239.746	1750.012	122.468
136	1.13333	1282.819	1809.879	502.903	1234.164	1743.536	123.237
137	1.14167	1278.886	1805.654	502.691	1228.449	1737.057	123.850
138	1.15000	1274.788	1801.348	502.712	1223.413	1730.976	124.587
139	1.15833	1271.146	1797.236	502.660	1218.304	1725.567	125.515
140	1.16667	1267.391	1793.169	502.425	1213.432	1719.907	125.392
141	1.17500	1263.512	1789.108	502.059	1208.236	1714.161	125.569
142	1.18333	1260.052	1785.302	501.518	1203.892	1709.009	125.407
143	1.19167	1256.478	1781.544	501.327	1199.268	1704.323	124.871
